trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
375,False,"{'a': 0.8, 'e': 0.023077989641364014}",20,15,12.371143997018061,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.8, 'e': 0.022847209744950372}",20,12,14.530422329590387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.8, 'e': 0.02261873764750087}",20,5,23.126609486150628,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.8, 'e': 0.02239255027102586}",20,9,19.327454142793215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.8, 'e': 0.0221686247683156}",25,19,0.8908782494702054,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.8, 'e': 0.021946938520632443}",25,18,11.576643993327796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.8, 'e': 0.021727469135426117}",35,18,24.328956286866568,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.8, 'e': 0.021510194444071856}",25,14,20.704433627342553,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.8, 'e': 0.021295092499631137}",20,13,12.621198237167025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.8, 'e': 0.021082141574634825}",25,10,27.962719792013388,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.8, 'e': 0.020871320158888478}",20,5,25.753459639057088,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
